ID	,	ALTX	,	ALARM_TEXT_KOREA	,	ALARM_TEXT_CHINA	,	ALARM_TEXT_ENGLISH	,	ALARM_TEXT_VIETNAM	,	ALARM_ACTION_TEXT_KOREA	,	ALARM_ACTION_TEXT_CHINA	,	ALARM_ACTION_TEXT_ENGLIST	,	ALARM_ACTION_TEXT_VIETNAM	,	LEVEL	,	UNIT	,	BOX_TYPE	,	BOX_RECTANGLE_X	,	BOX_RECTANGLE_Y	,	BOX_RECTANGLE_WIDTH	,	BOX_RECTANGLE_HEIGHT
10615	,	SE_IN_SHUTTLE_P2_SENSOR_OVERLAP	,	IN셔틀 P2 셀 겹침 확인되었습니다 (센서)	,	IN_SHUTTLE_P2_CELL_SENSOR_OVERLAP_FAILED	,	IN_SHUTTLE_P2_CELL_SENSOR_OVERLAP_FAILED	,	IN_SHUTTLE_P2_CELL_SENSOR_OVERLAP_FAILED	,	IN셔틀 P2 패널 상태를 확인해주세요.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P2.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P2.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P2.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.02086677	,	0.4466146	,	0.09470305	,	0.1171875
11000	,	MO_TRANSFER_ROBOT_IN_N_INITIALIZE	,	IN로봇 초기화 동작에 실패 했습니다	,	IN_ROBOT_INITIALIZE_FAILED	,	IN_ROBOT_INITIALIZE_FAILED	,	IN_ROBOT_INITIALIZE_FAILED	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11001	,	MO_TRANSFER_ROBOT_IN_PROCESS_SKIP	,	IN로봇 동작중인 프로세스 스킵에 실패 했습니다	,	IN_ROBOT_RUN_PROCESS_SKIP_FAILED	,	IN_ROBOT_RUN_PROCESS_SKIP_FAILED	,	IN_ROBOT_RUN_PROCESS_SKIP_FAILED	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11002	,	MO_TRANSFER_ROBOT_IN_ENTER_JCM_MODE	,	IN로봇 JCM 모드 진입(ENTER)에 실패 했습니다. 	,	IN_ROBOT_ENTER_JCM_MODE_FAILED	,	IN_ROBOT_ENTER_JCM_MODE_FAILED	,	IN_ROBOT_ENTER_JCM_MODE_FAILED	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11003	,	MO_TRANSFER_ROBOT_IN_JCM_MODE_MOVE	,	IN로봇 JCM 모드 이동(MOVE)에 실패 했습니다.	,	IN_ROBOT_JCM_MODE_MOVE_FAILED	,	IN_ROBOT_JCM_MODE_MOVE_FAILED	,	IN_ROBOT_JCM_MODE_MOVE_FAILED	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11004	,	MO_TRANSFER_ROBOT_IN_EXIT_JCM_MODE	,	IN로봇 JCM 모드 출입(EXIT)에 실패 했습니다. 	,	IN_ROBOT_EXIT_JCM_MODE_FAILED	,	IN_ROBOT_EXIT_JCM_MODE_FAILED	,	IN_ROBOT_EXIT_JCM_MODE_FAILED	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11005	,	MO_TRANSFER_ROBOT_IN_LOAD_BEGIN	,	IN로봇 로드 프로세스 진입에 실패 했습니다 (IN셔틀 위치)	,	IN_ROBOT_LOAD_PROCESS_BEGIN_FAILED (IN-SHUTTLE POSITION)	,	IN_ROBOT_LOAD_PROCESS_BEGIN_FAILED (IN-SHUTTLE POSITION)	,	IN_ROBOT_LOAD_PROCESS_BEGIN_FAILED (IN-SHUTTLE POSITION)	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11006	,	MO_TRANSFER_ROBOT_IN_LOAD_PERMIT	,	IN로봇 로드 프로세스 퍼밋 동작에 실패 했습니다 (IN셔틀 위치)	,	IN_ROBOT_LOAD_PROCESS_PERMIT_FAILED (IN-SHUTTLE POSITION)	,	IN_ROBOT_LOAD_PROCESS_PERMIT_FAILED (IN-SHUTTLE POSITION)	,	IN_ROBOT_LOAD_PROCESS_PERMIT_FAILED (IN-SHUTTLE POSITION)	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11007	,	MO_TRANSFER_ROBOT_IN_LOAD_EXIT	,	IN로봇 로트 프로세스 종료에 실패 했습니다 (IN셔틀 위치)	,	IN_ROBOT_LOAD_PROCESS_EXIT_FAILED (IN-SHUTTLE POSITION)	,	IN_ROBOT_LOAD_PROCESS_EXIT_FAILED (IN-SHUTTLE POSITION)	,	IN_ROBOT_LOAD_PROCESS_EXIT_FAILED (IN-SHUTTLE POSITION)	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11008	,	MO_TRANSFER_ROBOT_IN_MCR_BEGIN	,	IN로봇 MCR 프로세스 진입에 실패 했습니다	,	IN_ROBOT_MCR_PROCESS_BEGIN_FAILED	,	IN_ROBOT_MCR_PROCESS_BEGIN_FAILED	,	IN_ROBOT_MCR_PROCESS_BEGIN_FAILED	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11009	,	MO_TRANSFER_ROBOT_IN_MCR_PERMIT	,	IN로봇 MCR 프로세스 퍼밋 동작에 실패 했습니다	,	IN_ROBOT_MCR_PROCESS_PERMIT_FAILED	,	IN_ROBOT_MCR_PROCESS_PERMIT_FAILED	,	IN_ROBOT_MCR_PROCESS_PERMIT_FAILED	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11010	,	MO_TRANSFER_ROBOT_IN_MCR_EXIT	,	IN로봇 MCR 프로세스 종료에 실패 했습니다	,	IN_ROBOT_MCR_PROCESS_EXIT_FAILED	,	IN_ROBOT_MCR_PROCESS_EXIT_FAILED	,	IN_ROBOT_MCR_PROCESS_EXIT_FAILED	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11011	,	MO_TRANSFER_ROBOT_IN_UNLOAD_BEGIN	,	IN로봇 언로드 프로세스 진입에 실패 했습니다 (검사스테이지 위치)	,	IN_ROBOT_UNLOAD_PROCESS_BEGIN_FAILED (INSPECTION-STAGE POSITION)	,	IN_ROBOT_UNLOAD_PROCESS_BEGIN_FAILED (INSPECTION-STAGE POSITION)	,	IN_ROBOT_UNLOAD_PROCESS_BEGIN_FAILED (INSPECTION-STAGE POSITION)	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11012	,	MO_TRANSFER_ROBOT_IN_UNLOAD_PERMIT	,	IN로봇 언로드 프로세스 퍼밋 동작에 실패 했습니다 (검사스테이지 위치)	,	IN_ROBOT_UNLOAD_PROCESS_PERMIT_FAILED (INSPECTION-STAGE POSITION)	,	IN_ROBOT_UNLOAD_PROCESS_PERMIT_FAILED (INSPECTION-STAGE POSITION)	,	IN_ROBOT_UNLOAD_PROCESS_PERMIT_FAILED (INSPECTION-STAGE POSITION)	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11013	,	MO_TRANSFER_ROBOT_IN_UNLOAD_EXIT	,	IN로봇 언로드 프로세스 종료에 실패 했습니다 (검사스테이지 위치)	,	IN_ROBOT_UNLOAD_PROCESS_EXIT_FAILED (INSPECTION-STAGE POSITION)	,	IN_ROBOT_UNLOAD_PROCESS_EXIT_FAILED (INSPECTION-STAGE POSITION)	,	IN_ROBOT_UNLOAD_PROCESS_EXIT_FAILED (INSPECTION-STAGE POSITION)	,	IN로봇 상태를 확인해 주세요.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	CHECK THE STATUS OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.3964687	,	0.2916667	,	0.2279294	,	0.2721354
11100	,	CY_TRANSFER_ROBOT_IN_P1_T_TURN	,	IN로봇 실린더 P1 회전 동작에 실패 했습니다	,	IN_ROBOT_P1_CYLINDER_TURN_FAILED	,	IN_ROBOT_P1_CYLINDER_TURN_FAILED	,	IN_ROBOT_P1_CYLINDER_TURN_FAILED	,	IN로봇 실린더 P1 상태를 확인해 주세요	,	CHECK THE CYLINDER P1 OF IN ROBOT.	,	CHECK THE CYLINDER P1 OF IN ROBOT.	,	CHECK THE CYLINDER P1 OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.5200642	,	0.4648438	,	0.105939	,	0.09895834
11101	,	CY_TRANSFER_ROBOT_IN_P1_T_RETURN	,	IN로봇 실린더 P1 복귀 동작에 실패 했습니다	,	IN_ROBOT_P1_CYLINDER_RETURN_FAILED	,	IN_ROBOT_P1_CYLINDER_RETURN_FAILED	,	IN_ROBOT_P1_CYLINDER_RETURN_FAILED	,	IN로봇 실린더 P1 상태를 확인해 주세요	,	CHECK THE CYLINDER P1 OF IN ROBOT.	,	CHECK THE CYLINDER P1 OF IN ROBOT.	,	CHECK THE CYLINDER P1 OF IN ROBOT.	,	HEAVY	,	IN_ROBOT	,	SQUARE	,	0.5200642	,	0.4648438	,	0.105939	,	0.09895834
